ticker,nome,scenario,net_signal,E_ret,VaR_5,prob_pos,P5,P95
ZC=F,Corn,Base,0,2.75578025675688,-6.2627438904624455,68.64,-6.2627438904624455,12.000868487280496
ZO=F,Oat,Base,0,3.5764476626284933,-14.185943763169723,60.099999999999994,-14.185943763169723,23.889781094590194
KE=F,HRW Wheat,Optimistic,0.4,22.57611268969956,2.639458829763454,97,2.639458829763454,45.07052311843913
ZR=F,Rough Rice,Base,0,2.323435137796651,-11.94252844718279,58.98,-11.94252844718279,17.732939654533947
GF=F,Feeder Cattle,Base,0.08999999999999998,1.2102514475787005,-6.344253338572341,58.98,-6.344253338572341,9.080820600524365
ZS=F,Soybeans,Base,0,4.883812534052631,-4.132937704680767,79.74,-4.132937704680767,14.753075210807772
ZM=F,Soybean Meal,Base,0,4.008040973422486,-9.094012029027857,67.7,-9.094012029027857,17.905419119493224
ZL=F,Soybean Oil,Base,-0.04000000000000002,15.833626698460153,-0.33540662414147,94.39999999999999,-0.33540662414147,33.64853724644712
