ticker,nome,scenario,net_signal,E_ret,VaR_5,prob_pos,P5,P95
ZC=F,Corn,Base,-0.09000000000000001,0.827967807207786,-8.734536802209988,54.800000000000004,-8.734536802209988,10.676327021230913
ZO=F,Oat,Base,0,6.705300339587693,-11.505881105109635,70.92,-11.505881105109635,27.51947590572881
KE=F,HRW Wheat,Pessimistic,-0.15000000000000002,8.555512809805705,-10.637198132426779,75.33999999999999,-10.637198132426779,30.435039793775918
ZR=F,Rough Rice,Base,0,4.924424336257085,-9.924308320996193,68.86,-9.924308320996193,20.986431834569224
GF=F,Feeder Cattle,Base,0,0.07727727703498156,-7.1327789144702205,50,-7.1327789144702205,7.5763624622505485
ZS=F,Soybeans,Base,0,2.5908544012174173,-6.673142188973349,66.10000000000001,-6.673142188973349,12.760858354376012
ZM=F,Soybean Meal,Base,0,6.560479958520175,-6.8461412670467565,77.74,-6.8461412670467565,20.779378767529174
ZL=F,Soybean Oil,Base,0,13.453915586906628,-2.2654367303706207,91.36,-2.2654367303706207,30.76106057213692
