lag,acf_abs_WTI,acf_abs_Brent
1,0.27612689753222225,0.187782049639612
2,0.2749477217268424,0.20479198741430907
3,0.31166530449936225,0.2322839638574889
4,0.237438542674867,0.22943762025694342
5,0.2745871860297682,0.24540205474862295
6,0.2822772460677266,0.19215918169332954
7,0.2565036451713294,0.20082608122453094
8,0.24522813913221486,0.20889440104728485
9,0.27128304081728044,0.24296730398709251
10,0.2639312455490067,0.21174615430989271
11,0.19799903712303418,0.168059886900663
12,0.2161704687569894,0.2064525130117269
13,0.24417099108654605,0.18518521015663653
14,0.19867531970694932,0.19354565479121308
15,0.2500199376215846,0.17835180098483824
16,0.22530934738673497,0.17005326730060175
17,0.20085386214782544,0.16425721757286957
18,0.2284448659522499,0.18281641782629704
19,0.19788934368422723,0.1864820636202246
20,0.20113032128889352,0.14229987613017483
21,0.22094073522140034,0.1637089176376292
22,0.15796155798778758,0.1362282301780102
23,0.16915431560977615,0.1526425281056674
24,0.1649515551553166,0.14056355190550576
25,0.16089350935054003,0.13120240449608225
26,0.13831025216478293,0.12599085546782648
27,0.15691052075573167,0.10101042818645017
28,0.1682549802733572,0.14781373195578787
29,0.12758259781419956,0.1392098746581732
30,0.12856841131103677,0.10545469623233615
31,0.1385812446344462,0.09591997301697941
32,0.10519947002765273,0.08105431402470682
33,0.1282593796444542,0.09958733671009908
34,0.14188620408516142,0.09115587054349954
35,0.11301174132300888,0.08606907705139043
36,0.0986612921170793,0.09100733968333466
37,0.1208902990473584,0.12204640235955078
38,0.11074858144539787,0.10591554738388809
39,0.08044645346658144,0.07650046788589192
40,0.0896563008348425,0.08251423132543832
41,0.07530847862618711,0.07253067449855626
42,0.07530052182006308,0.08208954718847145
43,0.09423776961755218,0.09553153692239454
44,0.084681626599982407,0.0818003088027471
45,0.06369010112472052,0.0636078757546549
46,0.08769644254524024,0.07477336010571115
47,0.06574022749150567,0.07536788469686054
48,0.07016116009886028,0.0699378211295485
49,0.06344008521247961,0.050286479784713387
50,0.059485779092507685,0.0537303067104637
51,0.06395883186441496,0.05337152527825597
52,0.07129406007156065,0.06015621247487901
53,0.07475712130592767,0.06076084313811832
54,0.06233998373828253,0.06924969460474638
55,0.05916624500127487,0.06732493152177405
56,0.05750106894474502,0.037450072802198864
57,0.04437871257358873,0.05777579852118622
58,0.045250264495336825,0.05614072496377287
59,0.034221490029745734,0.054941138008599524
60,0.04900076636493067,0.05910182152832899
61,0.05220977494028317,0.05431102484266111
62,0.05625063771452643,0.047477745073197165
63,0.043362511572702066,0.0475896502950679
64,0.03332100125121378,0.045536810957846105
65,0.05311974680180184,0.04327560537054335
66,0.06423367310043103,0.05501440835982535
67,0.03880165688085183,0.05195237095407764
68,0.035516100657307405,0.01775553497879154
69,0.04455286386442672,0.03622012066379356
70,0.035033121905686235,0.02581587410402519
71,0.025999533478104974,0.026826078975900287
72,0.025711990607266123,0.038422001167451605
73,0.041535386450612534,0.033885920362627435
74,0.023355339802525382,0.025539035333285682
75,0.037297319101476586,0.02445875449348877
76,0.009931245887644269,0.02687285042411493
77,0.027661588071004047,0.03907105867668778
78,0.008208378468611532,0.02500249943059594
79,0.014632535764587997,0.03944497955109927
80,0.02721144880110736,0.035687676329529974
81,0.028862484528166792,0.012638248543898162
82,0.032121912804027326,0.04290297929094486
83,0.021135062083700067,0.03333798840820051
84,0.029982738708303515,0.023449542923326898
85,0.02759077727260108,0.02615002555298451
86,0.027171135735188354,0.03477858315675665
87,0.02225422365205509,0.02654851353110519
88,0.011866716587176236,0.032091650437767266
89,0.019524735854197277,0.035982909571946955
90,0.020675292522395642,0.020578635379884094
91,0.007524846960349946,0.05129406432262076
92,0.04035963106850803,0.028677251302906426
93,0.026453813755468424,0.020848017113046867
94,0.034296677218652726,0.030928852860799144
95,0.01958038944336204,0.03253046741186085
96,0.018894403743341476,0.03163832814167016
97,0.020361158118440765,0.019981317786325718
98,0.03517113535204103,0.04695181763316789
99,0.026808827288909296,0.02670529183434159
100,0.04310340340745888,0.05777292396380046
