ticker,nome,scenario,net_signal,E_ret,VaR_5,prob_pos,P5,P95
ZC=F,Corn,Base,0,-0.33780943316030576,-9.984596053385118,46.9,-9.984596053385118,9.610150652082549
ZO=F,Oat,Base,0,2.7564928464173404,-12.944532453014276,58.86,-12.944532453014276,20.472628370039942
KE=F,HRW Wheat,Optimistic,0.51,16.55857217065509,2.7185244520043494,97.86,2.7185244520043494,31.692901376586743
ZR=F,Rough Rice,Base,0,0.39695144653255154,-14.571265659859714,50.28,-14.571265659859714,16.672527922567046
GF=F,Feeder Cattle,Base,0,3.757170797340181,-9.749561003225304,65.52,-9.749561003225304,18.355009952422105
ZS=F,Soybeans,Base,0,0.07035271884409645,-7.521413203940933,49.64,-7.521413203940933,8.3228883427182
ZM=F,Soybean Meal,Base,0,-1.413584391954793,-10.938642554622971,39.800000000000004,-10.938642554622971,8.49257518101486
ZL=F,Soybean Oil,Optimistic,0.19999999999999996,11.210067229576058,-0.7844653985301173,93.38,-0.7844653985301173,24.143743232273817
