ticker,nome,scenario,net_signal,E_ret,VaR_5,prob_pos,P5,P95
ZC=F,Corn,Base,0.15,4.971189244947675,-3.5838599549492125,82.42,-3.5838599549492125,13.705312656378775
ZO=F,Oat,Base,0,7.809344678621302,-9.459078792915934,74.66000000000001,-9.459078792915934,27.397267810504825
KE=F,HRW Wheat,Base,0,9.529995754281403,-7.220706092287072,81.82000000000001,-7.220706092287072,28.297594736982393
ZR=F,Rough Rice,Base,0,3.918773692837717,-9.928914839323836,66.18,-9.928914839323836,18.813753678661598
GF=F,Feeder Cattle,Optimistic,0.38,6.8419611202596595,-1.6856190268648472,90.5,-1.6856190268648472,15.756215645744403
ZS=F,Soybeans,Base,0.08999999999999996,7.085463444082662,-2.148571327432665,88.96,-2.148571327432665,17.194362291468536
ZM=F,Soybean Meal,Optimistic,0.8200000000000001,25.890248066762194,10.20098772168063,99.66000000000001,10.20098772168063,42.51671504368375
ZL=F,Soybean Oil,Base,0.009999999999999967,16.7649780839383,0.8544600261138868,95.84,0.8544600261138868,34.25509009302992
