ticker,nome,scenario,net_signal,E_ret,VaR_5,prob_pos,P5,P95
ZC=F,Corn,Base,0,0.9768362869481639,-8.717099885615955,55.76,-8.717099885615955,10.96819507156418
ZO=F,Oat,Base,0,0.9463288186033351,-15.172661053866042,51.72,-15.172661053866042,19.22390534354011
KE=F,HRW Wheat,Optimistic,0.7000000000000001,19.84382241434015,5.612973302705536,99.18,5.612973302705536,35.40556468929199
ZR=F,Rough Rice,Base,0,-2.072537325378852,-16.08359851556457,39.1,-16.08359851556457,13.09952029235768
GF=F,Feeder Cattle,Optimistic,0.15999999999999998,11.192884580541001,1.3615579064871999,96.76,1.3615579064871999,21.527846310885828
ZS=F,Soybeans,Base,0,1.0497581899828594,-6.494129469285474,57.74,-6.494129469285474,9.243521198655294
ZM=F,Soybean Meal,Base,0,0.49051003381264047,-9.393436403890469,52.62,-9.393436403890469,10.781813514308201
ZL=F,Soybean Oil,Base,0.09,11.847978157776,-0.14067829791763273,94.58,-0.14067829791763273,24.76952226603099
