ticker,nome,scenario,net_signal,E_ret,VaR_5,prob_pos,P5,P95
ZC=F,Corn,Base,-0.14000000000000004,1.792574752471813,-6.302820414478006,63.739999999999995,-6.302820414478006,10.046815796499798
ZO=F,Oat,Base,0,4.2843564936730765,-13.061364131029089,63.839999999999996,-13.061364131029089,24.04733162281166
KE=F,HRW Wheat,Optimistic,0.3,21.492800757676978,2.0036343886255272,96.64,2.0036343886255272,43.44678441388045
ZR=F,Rough Rice,Base,0,-0.4929107558075603,-13.171909003212543,46.26,-13.171909003212543,13.091077868567911
GF=F,Feeder Cattle,Optimistic,0.17999999999999997,3.31941362412518,-4.558557408640668,73.72,-4.558557408640668,11.535542092658917
ZS=F,Soybeans,Base,-0.11000000000000006,3.3967685749715075,-5.176474549426899,72.89999999999999,-5.176474549426899,12.761045072149669
ZM=F,Soybean Meal,Base,0.11,6.692123733390435,-6.802482458043741,78.16,-6.802482458043741,21.01083921039558
ZL=F,Soybean Oil,Base,0,17.176043494602748,1.3212873503914124,96.32,1.3212873503914124,34.59347346490208
