ticker,nome,scenario,net_signal,E_ret,VaR_5,prob_pos,P5,P95
ZC=F,Corn,Base,-0.05000000000000002,0.3357895082591405,-9.7267899224078,51,-9.7267899224078,10.736473471040451
ZO=F,Oat,Base,0,11.53943083573775,-5.905417893764666,84.72,-5.905417893764666,31.27397800167107
KE=F,HRW Wheat,Base,-0.05000000000000002,5.63644603538703,-8.841874959444903,72.84,-8.841874959444903,21.67491349464959
ZR=F,Rough Rice,Base,0,4.003157010354083,-11.652981361715524,64.34,-11.652981361715524,21.043676551015363
GF=F,Feeder Cattle,Base,0.15,3.982023015180027,-4.596739897457393,76.06,-4.596739897457393,12.965488366219057
ZS=F,Soybeans,Pessimistic,-0.22000000000000003,2.073938209708177,-5.604506373392664,65.78,-5.604506373392664,10.417071413489516
ZM=F,Soybean Meal,Base,0.15,5.268116594015191,-5.939976888469819,76.94,-5.939976888469819,17.001459379439947
ZL=F,Soybean Oil,Base,-0.13000000000000006,11.197064651873559,-1.2209948836051037,92.66,-1.2209948836051037,24.621892982580782
