ticker,nome,scenario,net_signal,E_ret,VaR_5,prob_pos,P5,P95
ZC=F,Corn,Base,0,0.9489889897027705,-9.175477836297032,55.24,-9.175477836297032,11.413666496480904
ZO=F,Oat,Base,0,5.802400142235999,-11.304383577660309,69.46,-11.304383577660309,25.228046795788465
KE=F,HRW Wheat,Base,0,7.338870612604827,-8.367393854546247,76.88000000000001,-8.367393854546247,24.85300899809863
ZR=F,Rough Rice,Optimistic,0.3,16.44289919108658,-0.3129105119852595,94.64,-0.3129105119852595,34.59735503266907
GF=F,Feeder Cattle,Optimistic,0.17999999999999997,6.101824414216204,-2.645057007905822,87.16000000000001,-2.645057007905822,15.260958347096256
ZS=F,Soybeans,Base,0,4.896582862534873,-4.564165427389631,78.66,-4.564165427389631,15.281802779626528
ZM=F,Soybean Meal,Base,0,2.4684171760776983,-9.747696305472816,61.82,-9.747696305472816,15.367005168762326
ZL=F,Soybean Oil,Base,0.13999999999999996,21.087771523892837,5.395121579170628,98.9,5.395121579170628,38.25998302085347
