series,n_obs,mean_return,std_return,annualized_vol,skewness,excess_kurtosis,hill_tail_index,acf1_raw,acf5_raw,ljungbox10_pvalue,acf1_abs,acf5_abs,acf20_abs,acf50_abs,ljungbox20_sq_pvalue,jarque_bera_stat,jarque_bera_pvalue,adf_stat,adf_pvalue,garch_alpha,garch_beta,garch_persistence
WTI,6462,2.3628083988925044e-4,0.027163921201903647,0.4312138808015508,0.5261680460770689,29.589660055265004,2.839749075024385,-0.03139274956553545,-0.056795781892116134,1.0217740986639967e-8,0.27612689753222225,0.2745871860297682,0.20113032128889352,0.059485779092507685,0,190660.61886363046,0,-16.357443666702867,0.01,0.09702953129607832,0.8829161442031589,0.9799456754992372
Brent,6462,2.651362634727464e-4,0.024919758851336096,0.39558890791401546,0.4141218608030586,27.216888448658263,2.913488570865674,0.0505881511329598,-0.014847280604605861,1.2212453270876722e-15,0.187782049639612,0.24540205474862295,0.14229987613017483,0.0537303067104637,0,158088.43416987942,0,-16.42548083203548,0.01,0.08401210318375904,0.9088137315250986,0.9928258347088577
