ticker,nome,scenario,net_signal,E_ret,VaR_5,prob_pos,P5,P95
ZC=F,Corn,Pessimistic,-0.24000000000000005,-1.0434661416977347,-10.917977778220683,42.14,-10.917977778220683,9.159442964126352
ZO=F,Oat,Base,0.15,18.04361496505944,-0.276401038464548,94.58,-0.276401038464548,38.750347391754865
KE=F,HRW Wheat,Base,0.15,13.839075290845939,-1.709880142004984,92.56,-1.709880142004984,31.057781292100092
ZR=F,Rough Rice,Base,0,7.413461720645565,-8.828635748426638,75.36,-8.828635748426638,25.099983874348567
GF=F,Feeder Cattle,Base,0,2.1655373903282307,-6.326916776682601,64.82,-6.326916776682601,11.06222958956349
ZS=F,Soybeans,Pessimistic,-0.24,0.3888147030751906,-8.626086040456292,51.44,-8.626086040456292,10.281965634057801
ZM=F,Soybean Meal,Base,-0.05000000000000002,3.3007419640750033,-8.871058277160193,65.9,-8.871058277160193,16.140499524432844
ZL=F,Soybean Oil,Base,0,13.986948911068238,-0.571137418978312,93.97999999999999,-0.571137418978312,29.897225084169918
