ticker,nome,scenario,net_signal,E_ret,VaR_5,prob_pos,P5,P95
ZC=F,Corn,Base,0.039999999999999994,0.538079467397767,-9.489491433265421,52.38,-9.489491433265421,10.898814397865824
ZO=F,Oat,Optimistic,0.3,13.377069701349322,-5.183428844526041,86.8,-5.183428844526041,34.48413752344201
KE=F,HRW Wheat,Base,0,5.88817652166084,-9.742615979044674,71.86,-9.742615979044674,23.334292646814053
ZR=F,Rough Rice,Base,0,4.566799112356086,-9.353795687040243,68.8,-9.353795687040243,19.53888994747612
GF=F,Feeder Cattle,Optimistic,0.29,5.946516627004517,-2.6243674283065834,86.92,-2.6243674283065834,14.912357647605752
ZS=F,Soybeans,Base,-0.039999999999999994,4.448919526201793,-4.651328794733564,77.25999999999999,-4.651328794733564,14.41746297674971
ZM=F,Soybean Meal,Base,0,3.4532352362027408,-8.862055162036027,66.3,-8.862055162036027,16.454994356952923
ZL=F,Soybean Oil,Base,-0.05000000000000002,14.251554960138456,-1.0089006269749359,93.36,-1.0089006269749359,30.996179342047952
