ticker,nome,scenario,net_signal,E_ret,VaR_5,prob_pos,P5,P95
ZC=F,Corn,Base,0,3.3185333860243014,-5.003933254062573,74.03999999999999,-5.003933254062573,11.809959509172625
ZO=F,Oat,Optimistic,0.3,12.362889812114782,-6.41322444692043,84.52,-6.41322444692043,33.767508040375276
KE=F,HRW Wheat,Base,0,11.764021523958437,-5.842800497740933,85.82,-5.842800497740933,31.5563782691993
ZR=F,Rough Rice,Base,0,1.48400400366127,-11.353512527462058,56.620000000000005,-11.353512527462058,15.22926084179626
GF=F,Feeder Cattle,Base,-0.060000000000000026,-0.20700164517636965,-7.827835450886575,47.22,-7.827835450886575,7.741559390058081
ZS=F,Soybeans,Base,0,4.577544874898865,-4.139775864551359,79.02,-4.139775864551359,14.10206184491755
ZM=F,Soybean Meal,Base,0,4.443107422487206,-8.492781244894694,70.26,-8.492781244894694,18.144573714060453
ZL=F,Soybean Oil,Optimistic,0.19999999999999996,21.017986341488733,4.52120808961571,98.46000000000001,4.52120808961571,39.15325452960316
