"Commodity","Model","S0","BS_Timing","BS_Abandon","Timing_Mean","Timing_Median","Timing_Q025","Timing_Q975","Timing_SD","Abandon_Mean","Abandon_Median","Abandon_Q025","Abandon_Q975","Abandon_SD"
"Corn","GBM",440.5,43.0083289009301,11.5104699545158,53.0801449334749,50.8469838821432,27.8843335021843,93.4948860468038,16.121193600041,9.90612324221532,9.54185767009839,4.00241269155336,18.6250532193152,3.70545235540013
"Corn","MRJ",440.5,43.0083289009301,11.5104699545158,41.9926603676511,40.3751188188094,18.4888079455203,74.8541913871736,14.3121448757639,8.17972244070778,7.69111613345008,2.79654311048685,15.4804101037005,3.48216372311814
"Corn","MRS",440.5,43.0083289009301,11.5104699545158,38.8128550982083,37.8144925282216,18.7418301071764,66.1291831344221,12.2161979963861,6.25156034784815,6.16382640937551,1.31216690265676,12.500418615257,2.96373626290746
"LiveCattle","GBM",231.175003051758,11.9721279178836,1.16962611560267,13.7952080752921,13.4447129496396,6.18255076432461,23.9515340499301,4.50107905426738,1.12567013877492,0.983197682320626,0.366846277951449,2.62607102959418,0.58710249311287
"LiveCattle","MRJ",231.175003051758,11.9721279178836,1.16962611560267,3.58217797496039,3.05233971165231,0.436885279320376,9.21013032492141,2.3344036301208,3.50301123240733,3.16725358065163,1.10973773251156,8.12547957906231,1.82617732087786
"LiveCattle","MRS",231.175003051758,11.9721279178836,1.16962611560267,9.27440983965052,9.0962525297184,2.45875872215709,16.8725548386269,3.81952588166565,1.23966774244834,1.19057007820526,0.0812903169155777,2.99992401526616,0.760084920264893
"Soybean","GBM",1046.25,84.4933079562971,17.7627406635005,96.5327357324504,90.5355440544754,47.5177655894127,174.715798402486,32.3232233498069,16.9300761539373,16.2556283867383,6.19434669609582,32.8787582700101,6.89856605801185
"Soybean","MRJ",1046.25,84.4933079562971,17.7627406635005,77.8789722540292,75.644990328037,39.3636505585053,132.254402779075,24.4417807948034,12.4735065261988,11.1902469225095,3.81898316976043,28.5529481746774,6.11206256533476
"Soybean","MRS",1046.25,84.4933079562971,17.7627406635005,75.7854617154055,74.3539378094027,34.8461856941506,125.208282071987,23.8295959206115,7.7230485792868,7.28952587179312,0.284343752196842,17.7402277982482,4.81436589654835
"SoybeanMeal","GBM",296.700012207031,28.1611564297092,7.29064523668175,32.9321257161511,31.6246844271838,15.1404423825251,57.6838629050513,11.1197656162728,6.80528361082514,6.44393571230639,2.56966130338087,13.6536463241891,2.73319506334231
"SoybeanMeal","MRJ",296.700012207031,28.1611564297092,7.29064523668175,28.3483209284182,27.1881965638435,14.1694544954072,47.7173710162248,8.61771024578676,3.75959913646136,3.36094775068227,1.04502836872161,8.99199679571301,2.09268249165036
"SoybeanMeal","MRS",296.700012207031,28.1611564297092,7.29064523668175,21.6493315704304,21.0870529708963,9.44591334173244,36.7354856370908,6.9501491119502,3.48552188327768,3.12069500856817,0.44809813744807,8.59191999362841,2.13564492191
"Wheat","GBM",510.75,56.4039930709185,17.2698641295041,68.2219647041402,65.0661987111164,32.6942856778237,121.117789672974,22.9826279677148,15.4924666092987,14.8798124869769,6.65249355946007,28.9618851252687,5.92576633734998
"Wheat","MRJ",510.75,56.4039930709185,17.2698641295041,55.6116063000753,53.2460591453177,30.1694188864235,95.4910083898178,16.3265859219127,5.58224162854596,4.79961532828953,1.27120100044315,13.8332848283249,3.39301287174788
"Wheat","MRS",510.75,56.4039930709185,17.2698641295041,35.7702414083954,34.7753290267048,16.1573191356955,61.4730978435985,12.2942443236834,6.11050838349577,5.34397092061509,0.769881264490897,15.5507499566665,3.8768743056865
